Countries,Child qualities:hard work,Child qualities: religious faith,Importance:work,Importance:Religion,Satisfied financially,Protect environment,Health:good,Emphasis on tech:good,Gapminder:Alternative GDP per capita
Argentina,56.8,43.5,95.6,72.6,5.51,41.4,92.8,66.3,9575.4491492208
Australia,0,0,0,0,0,0,0,0,30734.7745350343
Colombia,0,0,0,0,0,0,0,0,6766.3423675824
Chile,25.9,40.3,94.3,79.7,5.66,48,95.6,53.4,11529.6391071872
China,85.8,0,91.5,8.8,5.65,51.8,87.4,89.5,3151.9495574634
Egypt,38.4,87.3,90.2,99.8,5.26,51.1,91.6,87.6,4249.4912420037
Georgia,0,0,0,0,0,0,0,0,2882.2340837712
Germany,0,0,0,0,0,0,0,0,30613.6691673284
India,84.9,46.6,94,79.2,4.96,34.2,88.6,56.5,1860.2158185031
Iraq,0,92,95.8,98.7,5.43,0,91.5,0,3568.9685774878
Japan,27.1,6.5,84.2,19.5,6.17,34,90.7,57.4,29236.8607067022
Jordan,44.8,83.9,84.2,99.3,5.09,50.6,92.8,92.3,3811.2650408579
Mexico,30.1,53.1,96.2,87.5,6.54,48.4,95.6,65.1,11748.2867808514
Moldova,87.3,42.6,74.8,73.4,4.07,47.1,68.1,76.9,1910.2048893647
Morocco,73.4,89.2,96.4,99.2,5.08,46.7,92.5,85.1,3188.152355095
New Zealand,0,0,0,0,0,0,0,0,23595.9557240946
Pakistan,56.2,86.2,92.9,94.9,3.52,7,96.1,71,1900.919354073
Peru,59.3,55.6,97.4,83.9,5.11,55.5,97.1,75.7,5715.2699227521
Philippines,74,59.3,99,97.4,5.83,59.9,92.9,67.8,2795.473644702
Poland,0,0,0,0,0,0,0,0,12352.3630979835
Romania,0,0,0,0,0,,0,0,7840.1636113522
Russia,0,0,0,0,0,0,0,0,9722.4182767278
Slovenia,0,0,0,0,0,0,0,0,21085.8391490742
South Africa,75.3,61.4,92.6,91.5,4.65,33.5,96.2,61.8,7889.7231464252
South Korea,71.6,21.2,92.8,52.1,5.79,44,98.9,68.8,0
Spain,68.9,20.3,89.4,49.2,6.27,47.9,94.9,60.5,26072.1956416154
Sweden,3.9,4.9,90.6,34.8,,69.4,0,32.4,30226.0538936104
Taiwan,0,0,0,0,0,0,0,0,0
Turkey,74.3,44.1,88.1,93.4,4.26,64.3,89.7,88.2,9836.353881213
Ukraine,0,0,0,0,0,0,0,0,4456.1613667611
United States,60.8,52.1,89.4,,6.53,59.2,97.2,56.5,40259.4176611166
Uruguay,0,0,0,0,0,0,0,0,8988.270463733
